,Model,Precision,Device,Loading Time,Inference Time
0,Face_Detection,FP32,CPU,0.16048264503479004,0.013089895248413086
1,Head_Pose,FP32,GPU,4.288416385650635,0.002653360366821289
2,Facial_Landmark,FP32,GPU,2.530423641204834,0.0015485286712646484
3,Gaze_Estimation,FP32,MYRIAD,1.695430040359497,0.0044400691986083984
