,Model,Precision,Device,Loading Time,Inference Time
0,Face_Detection,FP16,CPU,0.12266373634338379,0.012790203094482422
1,Head_Pose,FP16,CPU,0.03138113021850586,0.0021369457244873047
2,Facial_Landmark,FP16,CPU,0.02520608901977539,0.0004942417144775391
3,Gaze_Estimation,FP16,CPU,0.036266326904296875,0.0011889934539794922
