,Model,Precision,Device,Loading Time,Inference Time
0,Face_Detection,FP32,CPU,0.09948468208312988,0.012426376342773438
1,Head_Pose,FP32,CPU,0.03023052215576172,0.0022325515747070312
2,Facial_Landmark,FP32,CPU,0.025074481964111328,0.0005195140838623047
3,Gaze_Estimation,FP32,CPU,0.03454279899597168,0.0012066364288330078
