,Model,Precision,Device,Loading Time,Inference Time
0,Face_Detection,FP16,CPU,0.10013008117675781,0.012867212295532227
1,Head_Pose,FP16,GPU,4.712966203689575,0.002652406692504883
2,Facial_Landmark,FP16,GPU,2.9990880489349365,0.0016317367553710938
3,Gaze_Estimation,FP16,MYRIAD,1.606231927871704,0.004259586334228516
